PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
84788,20080425,AMZN,AMAZON COM INC,15473,2313510,0.040803
84788,20080428,AMZN,AMAZON COM INC,15473,2313510,0.013727
84788,20080429,AMZN,AMAZON COM INC,15473,2313510,-0.015006
84788,20080430,AMZN,AMAZON COM INC,15473,2313510,-0.026133
84788,20080501,AMZN,AMAZON COM INC,15473,2313510,0.009284
84788,20080502,AMZN,AMAZON COM INC,15473,2313510,-0.025832
84788,20080505,AMZN,AMAZON COM INC,15473,2313510,-0.01798
84788,20080506,AMZN,AMAZON COM INC,15473,2313510,-0.002766
84788,20080507,AMZN,AMAZON COM INC,15473,2313510,-0.033417
84788,20080508,AMZN,AMAZON COM INC,15473,2313510,-0.005329
84788,20080509,AMZN,AMAZON COM INC,15473,2313510,-0.00522
84788,20080512,AMZN,AMAZON COM INC,15473,2313510,0.029278
84788,20080513,AMZN,AMAZON COM INC,15473,2313510,0.000403
84788,20080514,AMZN,AMAZON COM INC,15473,2313510,-0.004828
84788,20080515,AMZN,AMAZON COM INC,15473,2313510,0.025876
84788,20080516,AMZN,AMAZON COM INC,15473,2313510,0.004467
84788,20080519,AMZN,AMAZON COM INC,15473,2313510,0.076249
84788,20080520,AMZN,AMAZON COM INC,15473,2313510,-0.019079
84788,20080521,AMZN,AMAZON COM INC,15473,2313510,-0.02998
84788,20080522,AMZN,AMAZON COM INC,15473,2313510,0.012261
84788,20080523,AMZN,AMAZON COM INC,15473,2313510,-0.011481
84788,20080527,AMZN,AMAZON COM INC,15473,2313510,0.028973
84788,20080528,AMZN,AMAZON COM INC,15473,2313510,-0.006698
84788,20080529,AMZN,AMAZON COM INC,15473,2313510,0.003372
84788,20080530,AMZN,AMAZON COM INC,15473,2313510,0.015806
84788,20080602,AMZN,AMAZON COM INC,15473,2313510,-0.01703
84788,20080603,AMZN,AMAZON COM INC,15473,2313510,-0.001496
84788,20080604,AMZN,AMAZON COM INC,15473,2313510,0.017351
84788,20080605,AMZN,AMAZON COM INC,15473,2313510,0.036933
84788,20080606,AMZN,AMAZON COM INC,15473,2313510,-0.045912
84788,20080609,AMZN,AMAZON COM INC,15473,2313510,-0.014883
84788,20080610,AMZN,AMAZON COM INC,15473,2313510,0.002392
84788,20080611,AMZN,AMAZON COM INC,15473,2313510,-0.02939
84788,20080612,AMZN,AMAZON COM INC,15473,2313510,-0.014622
84788,20080613,AMZN,AMAZON COM INC,15473,2313510,0.039659
84788,20080616,AMZN,AMAZON COM INC,15473,2313510,0.031957
84788,20080617,AMZN,AMAZON COM INC,15473,2313510,0.015545
84788,20080618,AMZN,AMAZON COM INC,15473,2313510,-0.005424
84788,20080619,AMZN,AMAZON COM INC,15473,2313510,0.021086
84788,20080620,AMZN,AMAZON COM INC,15473,2313510,-0.037503
84788,20080623,AMZN,AMAZON COM INC,15473,2313510,-0.005179
84788,20080624,AMZN,AMAZON COM INC,15473,2313510,-0.01289
84788,20080625,AMZN,AMAZON COM INC,15473,2313510,0.010924
84788,20080626,AMZN,AMAZON COM INC,15473,2313510,-0.052292
